,divYear,pop,appsReceived,appsPaid,divAmount,percentChange,totalDisbursed,year,sni,sniAmount,rollingSni,rollingSniSum,rollingStd
0,2018,0,0,"639,247",1600.0,0.3125,1022795200.0,2018,6324.4,6324400000.0,3635000000.0,18175000000.0,1582302384.1857786
1,2017,0,670706,633005,1100.0,0.076,696305500.0,2017,3214.2,3214200000.0,2955680000.0,14778400000.0,493610298.7175202
2,2016,739828,674939,638178,1022.0,-0.507,652217916.0,2016,2198.2,2198200000.0,2626440000.0,13132200000.0,756873967.7119299
3,2015,737625,678308,641561,2072.0,0.1,1329314392.0,2015,2907.3,2907300000.0,2615420000.0,13077100000.0,765025108.7382685
4,2014,735601,676467,637289,1884.0,1.093,1200652476.0,2014,3530.9,3530900000.0,2352060000.0,11760300000.0,860163980.2967801
5,2013,736399,672603,634366,900.0,0.025,570929400.0,2013,2927.8,2927800000.0,1150760000.0,5753800000.0,2101223284.8985848
6,2012,732298,679633,641644,878.0,-0.252,563363432.0,2012,1568.0,1568000000.0,1152800000.0,5764000000.0,2103383703.7022035
7,2011,722190,677888,644959,1174.0,-0.084,757181866.0,2011,2143.1,2143100000.0,1524980000.0,7624900000.0,2345876298.315834
8,2010,710231,670399,637873,1281.0,-0.018000000000000002,817115313.0,2010,1590.5,1590500000.0,1634260000.0,8171300000.0,2394100370.285256
9,2009,692314,660290,624888,1305.0,-0.369,815478840.0,2009,-2475.6,-2475600000.0,1667020000.0,8335100000.0,2394472536.280172
10,2008,679720,648532,616484,2069.0,0.251,1275505396.0,2008,2938.0,2938000000.0,2462560000.0,12312800000.0,811707088.7949667
11,2007,674510,634490,600278,1654.0,0.494,992859812.0,2007,3428.9,3428900000.0,1946020000.0,9730100000.0,1174298433.959613
12,2006,670053,629098,595166,1106.96,0.309,658824955.4,2006,2689.5,2689500000.0,1311640000.0,6558200000.0,1019506350.1518762
13,2005,663253,632831,597639,845.76,-0.081,505459160.6,2005,1754.3,1754300000.0,1013560000.0,5067800000.0,675921857.9096255
14,2004,656834,631229,599992,919.84,-0.17,551896641.3,2004,1502.1,1502100000.0,1107140000.0,5535700000.0,820946138.9153371
15,2003,647747,626009,596176,1107.56,-0.281,660300690.6,2003,355.3,355300000.0,1315540000.0,6577700000.0,1047320162.6054947
16,2002,640544,621257,590031,1540.76,-0.16699999999999998,909096163.6,2002,257.0,257000000.0,1763440000.0,8817200000.0,1012285944.2864946
17,2001,632241,620486,586848,1850.28,-0.057999999999999996,1085833117.0,2001,1199.1,1199100000.0,2119240000.0,10596200000.0,563660050.9172173
18,2000,627533,619063,583633,1963.86,0.11,1146173503.0,2000,2222.2,2222200000.0,2233240000.0,11166200000.0,347063038.9424953
19,1999,622000,592779,573324,1769.84,0.149,1014691748.0,1999,2544.1,2544100000.0,1990360000.0,9951800000.0,649699709.8660272
20,1998,617082,585222,565657,1540.88,0.18899999999999997,871609558.2,1998,2594.8,2594800000.0,1700400000.0,8502000000.0,664144257.6729847
21,1997,609655,575270,555289,1296.54,0.147,719954400.1,1997,2036.0,2036000000.0,1422440000.0,7112200000.0,453737636.74617076
22,1996,605212,566061,546651,1130.68,0.142,618087352.7,1996,1769.1,1769100000.0,1224820000.0,6124100000.0,313076423.5773751
23,1995,601581,564702,542397,990.3,0.006999999999999999,537135749.1,1995,1007.8,1007800000.0,1077100000.0,5385500000.0,78231930.82111682
24,1994,600622,559840,535178,983.9,0.036000000000000004,526561634.2,1994,1094.3,1094300000.0,1058720000.0,5293600000.0,104850808.2944524
25,1993,596906,550705,528399,949.46,0.037000000000000005,501693714.5,1993,1205.0,1205000000.0,1013560000.0,5067800000.0,131048990.83930409
26,1992,586722,544017,523099,915.84,-0.017,479074988.2,1992,1047.9,1047900000.0000001,930400000.0,4652000000.0,109322413.07252602
27,1991,569054,535475,512764,931.34,-0.022000000000000002,477557623.8,1991,1030.5,1030500000.0,934520000.0,4672600000.0,115093492.43115355
28,1990,553171,533876,498447,952.63,0.091,474835565.6,1990,915.9,915900000.0,932600000.0,4663000000.0,113155821.76803808
29,1989,538900,526511,508710,873.16,0.055999999999999994,444185223.6,1989,868.5,868500000.0,876800000.0,4384000000.0,175220118.70786986
30,1988,535000,537279,519724,826.93,0.168,429775367.3,1988,789.2,789200000.0,813180000.0,4065900000.0,228603864.79672647
31,1987,541300,553320,530594,708.19,0.273,375761364.9,1987,1068.5,1068500000.0,749560000.0,3747800000.0,276244942.03514385
32,1986,550700,543858,533315,556.26,0.377,296661801.9,1986,1020.9,1020900000.0,609540000.0,3047700000.0,250388344.37728927
33,1985,543900,526976,519413,404.0,0.22,209842852.0,1985,636.9,636900000.0,435340000.0,2176700000.0,187817046.61718008
34,1984,524000,494150,482135,331.29,-0.142,159726504.2,1984,550.4,550400000.0,314440000.0,1572200000.0,217802164.8193608
35,1983,499100,469229,458213,386.15,-0.614,176938950.0,1983,471.1,471100000.0,205960000.0,1029800000.0,205633127.19501203
36,1982,464300,487841,470897,1000.0,,470897000.0,1982,368.4,368400000.0,112100000.0,560500000.0,155300933.67394802
